2008,Robert Kipkoech Cheruiyot,Kenya,2:07:45,4th victory
2009,Deriba Merga,Ethiopia,2:08:42,
2010,Robert Kiprono Cheruiyot,Kenya,2:05:52,
2011,Geoffrey Mutai,Kenya,2:03:02,Current men's course record
2012,Wesley Korir,Kenya,2:12:40,
2013,Lelisa Desisa Benti,Ethiopia,2:10:22,
2014,Meb Keflezighi,United States (CA),2:08:37,First American win since 1983
2015,Lelisa Desisa Benti,Ethiopia,2:09:17,2nd victory
2016,Lemi Berhanu Hayle,Ethiopia,2:12:45,
2017,Geoffrey Kirui,Kenya,2:09:37,
2018,TBD,TBD,TBD,

Year,Athlete,Country/State,Time,Notes
1966,Bobbi Gibb,United States (MA),3:21:40,(unsanctioned)[4]
1967,Bobbi Gibb,United States (CA),3:27:17,(unsanctioned) 2nd victory[4]
1968,Bobbi Gibb,United States (CA),3:30:00,(unsanctioned) 3rd victory[4]
1969,Sara Mae Berman,United States (MA),3:22:46,(unsanctioned)[4]
1970,Sara Mae Berman,United States (MA),3:05:07,(unsanctioned) 2nd victory[4]
1971,Sara Mae Berman,United States (MA),3:08:30,(unsanctioned) 3rd victory[4]
1972,Nina Kuscsik,United States (NY),3:10:26,first year that women were officially sanctioned
1973,Jacqueline Hansen,United States (CA),3:05:59,
1974,Miki Gorman,United States (CA),2:47:11,
1975,Liane Winter,West Germany,2:42:24,
1976,Kim Merritt,United States (WI),2:47:10,
1977,Miki Gorman,United States (CA),2:48:33,2nd victory
1978,Gayle Barron,United States (GA),2:44:52,
1979,Joan Benoit,United States (ME),2:35:15,
1980,Jacqueline Gareau,Canada,2:34:28,[5]
1981,Allison Roe,New Zealand,2:26:46,
1982,Charlotte Teske,West Germany,2:29:33,
1983,Joan Benoit,United States (ME),2:22:43,2nd victory
1984,Lorraine Moller,New Zealand,2:29:28,
1985,Lisa Larsen Weidenbach,United States (MI),2:34:06,
1986,Ingrid Kristiansen,Norway,2:24:55,
1987,Rosa Mota,Portugal,2:25:21,
1988,Rosa Mota,Portugal,2:24:30,2nd victory
1989,Ingrid Kristiansen,Norway,2:24:33,2nd victory
1990,Rosa Mota,Portugal,2:25:24,3rd victory
1991,Wanda Panfil,Poland,2:24:18,
1992,Olga Markova,Russia,2:23:43,
1993,Olga Markova,Russia,2:25:27,2nd victory
1994,Uta Pippig,Germany,2:21:45,
1995,Uta Pippig,Germany,2:25:11,2nd victory
1996,Uta Pippig,Germany,2:27:12,3rd victory
1997,Fatuma Roba,Ethiopia,2:26:23,
1998,Fatuma Roba,Ethiopia,2:23:21,2nd victory
1999,Fatuma Roba,Ethiopia,2:23:25,3rd victory
2000,Catherine Ndereba,Kenya,2:26:11,
2001,Catherine Ndereba,Kenya,2:23:53,2nd victory
2002,Margaret Okayo,Kenya,2:20:43,
2003,Svetlana Zakharova,Russia,2:25:19,
2004,Catherine Ndereba,Kenya,2:24:27,3rd victory
2005,Catherine Ndereba,Kenya,2:25:12,4th victory
2006,Rita Jeptoo,Kenya,2:23:38,
2007,Lidiya Grigoryeva,Russia,2:29:18,
2008,Dire Tune,Ethiopia,2:25:25,2 seconds ahead of 2nd-place finisher
2009,Salina Kosgei,Kenya,2:32:16,1 second ahead of 2nd-place finisher
2010,Teyba Erkesso,Ethiopia,2:26:11,3 seconds ahead of 2nd-place finisher
2011,Caroline Kilel,Kenya,2:22:36,2 seconds ahead of 2nd-place finisher
2012,Sharon Cherop,Kenya,2:31:50,2 seconds ahead of 2nd-place finisher
2013,Rita Jeptoo,Kenya,2:26:25,2nd victory
2014,Rita Jeptoo,Kenya,2:18:57,"Course record, later disqualified[6]"
2014,Bizunesh Deba,Ethiopia,2:19:59,
2015,Caroline Rotich,Kenya,2:24:55,
2016,Atsede Baysa,Ethiopia,2:29:19,
2017,Edna Kiplagat,Kenya,2:21:52,
2018,TBD,TBD,TBD,

Year,Athlete,Country/State,Time,Notes
1975,Robert Hall,United States (MA),2:58:00,
1976,none,,,
1977,Robert Hall,United States (MA),2:40:10,2nd victory
1978,George Murray,United States (FL),2:26:57,
1979,Ken Archer,United States (OH),2:38:59,
1980,Curt Brinkman,United States (UT),1:55:00,
1981,Jim Martinson,United States (WA),2:00:41,
1982,Jim Knaub,United States (CA),1:51:31,
1983,Jim Knaub,United States (CA),1:47:10,2nd victory
1984,"Viger, AndréAndré Viger",Canada,2:05:20,
1985,George Murray,United States (FL),1:45:34,2nd victory
1986,"Viger, AndréAndré Viger",Canada,1:43:25,2nd victory
1987,"Viger, AndréAndré Viger",Canada,1:55:42,3rd victory
1988,"Badid, MustaphaMustapha Badid",France,1:43:19,
1989,"Couprie, PhilippePhilippe Couprie",France,1:36:04,
1990,"Badid, MustaphaMustapha Badid",France,1:29:53,2nd victory
1991,Jim Knaub,United States (CA),1:30:44,3rd victory
1992,Jim Knaub,United States (CA),1:26:28,4th victory
1993,Jim Knaub,United States (CA),1:22:17,5th victory
1994,"Frei, HeinzHeinz Frei",Switzerland,1:21:23,
1995,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:25:59,
1996,"Frei, HeinzHeinz Frei",Switzerland,1:30:14,2nd victory
1997,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:28:14,2nd victory
1998,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:21:52,3rd victory
1999,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:21:36,4th victory
2000,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:33:32,5th victory
2001,"van Dyk, ErnstErnst van Dyk",South Africa,1:25:12,
2002,"van Dyk, ErnstErnst van Dyk",South Africa,1:23:19,2nd victory
2003,"van Dyk, ErnstErnst van Dyk",South Africa,1:28:32,3rd victory
2004,"van Dyk, ErnstErnst van Dyk",South Africa,1:18:27,4th victory
2005,"van Dyk, ErnstErnst van Dyk",South Africa,1:24:11,5th victory
2006,"van Dyk, ErnstErnst van Dyk",South Africa,1:25:29,6th victory
2007,"Soejima, MasazumiMasazumi Soejima",Japan,1:29:16,
2008,"van Dyk, ErnstErnst van Dyk",South Africa,1:26:49,7th victory
2009,"van Dyk, ErnstErnst van Dyk",South Africa,1:33:29,8th victory
2010,"van Dyk, ErnstErnst van Dyk",South Africa,1:26:53,9th victory
2011,"Soejima, MasazumiMasazumi Soejima",Japan,1:18:50,2nd victory
2012,"Cassidy, JoshuaJoshua Cassidy",Canada,1:18:25,
2013,"Yamamoto, HiroyukiHiroyuki Yamamoto",Japan,1:25:33,
2014,"van Dyk, ErnstErnst van Dyk",South Africa,1:20:36,10th victory
2015,"Hug, MarcelMarcel Hug",Switzerland,1:29:53,
2016,"Hug, MarcelMarcel Hug",Switzerland,1:24:01,2nd victory
2017,"Hug, MarcelMarcel Hug",Switzerland,1:18:03,3rd victory
2018,TBD,TBD,TBD,

Year,Athlete,Country/State,Time,Notes
1977,Sharon Rahn,United States (IL),3:48:51,
1978,Susan Shapiro,United States (CA),3:52:35,
1979,Sheryl Bair,United States (CA),3:27:56,
1980,Sharon Limpert,United States (MN),2:49:04,
1981,Candace Cable-Brookes,United States (NV),2:38:41,
1982,Candace Cable-Brookes,United States (NV),2:12:43,2nd victory
1983,Sherry Ramsey,United States (CO),2:27:07,
1984,Sherry Ramsey,United States (CO),2:56:51,2nd victory
1985,Candace Cable-Brookes,United States (CA),2:05:26,3rd victory
1986,Candace Cable-Brookes,United States (CA),2:09:28,4th victory
1987,Candace Cable-Brookes,United States (CA),2:19:55,5th victory
1988,Candace Cable-Brookes,United States (CA),2:10:44,6th victory
1989,Connie Hansen,Denmark,1:50:06,
1990,Jean Driscoll,United States (IL),1:43:17,
1991,Jean Driscoll,United States (IL),1:42:42,2nd victory
1992,Jean Driscoll,United States (IL),1:36:52,3rd victory
1993,Jean Driscoll,United States (IL),1:34:50,4th victory
1994,Jean Driscoll,United States (IL),1:34:22,5th victory
1995,Jean Driscoll,United States (IL),1:40:42,6th victory
1996,Jean Driscoll,United States (IL),1:52:56,7th victory
1997,Louise Sauvage,Australia,1:54:28,
1998,Louise Sauvage,Australia,1:41:19,2nd victory
1999,Louise Sauvage,Australia,1:42:23,3rd victory
2000,Jean Driscoll,United States (IL),2:00:52,8th victory
2001,Louise Sauvage,Australia,1:53:54,4th victory
2002,Edith Hunkeler,Switzerland,1:45:57,
2003,Christina Ripp,United States (IL),1:54:47,
2004,Cheri Blauwet,United States (CA),1:39:53,
2005,Cheri Blauwet,United States (CA),1:47:45,2nd victory
2006,Edith Hunkeler,Switzerland,1:43:42,2nd victory
2007,Wakako Tsuchida,Japan,1:53:30,
2008,Wakako Tsuchida,Japan,1:48:32,2nd victory
2009,Wakako Tsuchida,Japan,1:54:37,3rd victory
2010,Wakako Tsuchida,Japan,1:43:32,4th victory
2011,Wakako Tsuchida,Japan,1:34:06,5th victory
2012,Shirley Reilly,United States (AZ),1:37:36,
2013,Tatyana McFadden,United States (MD),1:45:25,
2014,Tatyana McFadden,United States (MD),1:35:06,2nd victory
2015,Tatyana McFadden,United States (MD),1:52:54,3rd victory
2016,Tatyana McFadden,United States (MD),1:42:16,4th victory
2017,Manuela Schär,Switzerland,1:28:17,
2018,TBD,TBD,TBD,

Country,Men's Open,Women's Open,Men's Wheelchair,Women's Wheelchair,Total
United States,44,15,12,28,99
Kenya,21,12,0,0,33
Canada,16,1,4,0,21
Japan,8,0,3,5,16
Ethiopia,6,7,0,0,13
Switzerland,0,0,10,3,13
South Africa,0,0,10,0,10
Finland,7,0,0,0,7
Germany,1,5[7],0,0,6
Australia,1,0,0,4,5
Russia,0,4,0,0,4
France,0,0,3,0,3
New Zealand,1,2,0,0,3
Portugal,0,3,0,0,3
South Korea,3,0,0,0,3
United Kingdom,3,0,0,0,3
Belgium,2,0,0,0,2
Norway,0,2,0,0,2
Greece,2,0,0,0,2
Denmark,0,0,0,1,1
Colombia,1,0,0,0,1
Guatemala,1,0,0,0,1
Ireland,1,0,0,0,1
Italy,1,0,0,0,1
Poland,0,1,0,0,1
Sweden,1,0,0,0,1
Yugoslavia,1,0,0,0,1

